Animal_Name,Animal_Species,Latitude,Longitude
Emperor Goose,Anser canagicus,61.199,-165.093
Emperor Goose,Anser canagicus,61.208,-165.029
Emperor Goose,Anser canagicus,61.178,-165.105
Emperor Goose,Anser canagicus,61.179,-165.103
Emperor Goose,Anser canagicus,61.174,-165.069
Emperor Goose,Anser canagicus,61.17,-165.092
Emperor Goose,Anser canagicus,61.178,-165.081
Emperor Goose,Anser canagicus,61.172,-165.047
Emperor Goose,Anser canagicus,61.185,-165.103
Emperor Goose,Anser canagicus,61.192,-165.053
Emperor Goose,Anser canagicus,61.162,-165.07
Emperor Goose,Anser canagicus,61.185,-165.085
Emperor Goose,Anser canagicus,61.149,-165.046
Emperor Goose,Anser canagicus,61.173,-165.092
Emperor Goose,Anser canagicus,61.183,-165.103
Emperor Goose,Anser canagicus,61.187,-165.12
Emperor Goose,Anser canagicus,61.185,-165.102
Emperor Goose,Anser canagicus,61.183,-165.12
Emperor Goose,Anser canagicus,61.174,-165.097
Emperor Goose,Anser canagicus,61.109,-165.169
Emperor Goose,Anser canagicus,61.178,-165.089
Emperor Goose,Anser canagicus,61.186,-165.142
Emperor Goose,Anser canagicus,61.192,-165.126
Emperor Goose,Anser canagicus,61.202,-165.114
Emperor Goose,Anser canagicus,61.191,-165.098
Emperor Goose,Anser canagicus,61.187,-165.123
Emperor Goose,Anser canagicus,61.174,-165.152
Emperor Goose,Anser canagicus,61.191,-165.113
Emperor Goose,Anser canagicus,61.194,-165.124
Emperor Goose,Anser canagicus,60.304,-164.696
Emperor Goose,Anser canagicus,60.33,-164.515
Emperor Goose,Anser canagicus,60.284,-164.699
Emperor Goose,Anser canagicus,60.304,-164.708
Emperor Goose,Anser canagicus,60.247,-164.656
Emperor Goose,Anser canagicus,60.305,-164.707
Emperor Goose,Anser canagicus,60.307,-164.697
Emperor Goose,Anser canagicus,60.312,-164.66
Emperor Goose,Anser canagicus,60.327,-164.694
Emperor Goose,Anser canagicus,60.307,-164.68
Emperor Goose,Anser canagicus,60.309,-164.671
Emperor Goose,Anser canagicus,60.305,-164.669
Emperor Goose,Anser canagicus,60.306,-164.708
Emperor Goose,Anser canagicus,60.314,-164.678
Emperor Goose,Anser canagicus,60.413,-164.544
Emperor Goose,Anser canagicus,60.319,-164.671
Emperor Goose,Anser canagicus,60.315,-164.667
Emperor Goose,Anser canagicus,60.314,-164.678
Emperor Goose,Anser canagicus,60.306,-164.698
Emperor Goose,Anser canagicus,60.308,-164.683
Emperor Goose,Anser canagicus,60.394,-164.36
Emperor Goose,Anser canagicus,60.306,-164.697
Emperor Goose,Anser canagicus,60.296,-164.726
Emperor Goose,Anser canagicus,60.35,-164.965
Emperor Goose,Anser canagicus,60.304,-164.742
Emperor Goose,Anser canagicus,60.298,-164.763
Emperor Goose,Anser canagicus,60.299,-164.741
Emperor Goose,Anser canagicus,55.915,-160.967
Emperor Goose,Anser canagicus,55.909,-160.98
Emperor Goose,Anser canagicus,55.913,-160.98
Emperor Goose,Anser canagicus,55.916,-161.01
Emperor Goose,Anser canagicus,55.905,-160.96
Emperor Goose,Anser canagicus,55.922,-160.911
Emperor Goose,Anser canagicus,55.926,-160.978
Emperor Goose,Anser canagicus,56.023,-161.383
Emperor Goose,Anser canagicus,55.934,-160.965
Emperor Goose,Anser canagicus,56.036,-161.088
Emperor Goose,Anser canagicus,56.006,-160.943
Emperor Goose,Anser canagicus,56.009,-161.022
Emperor Goose,Anser canagicus,56.011,-161.013
Emperor Goose,Anser canagicus,56.013,-160.975
Emperor Goose,Anser canagicus,56.016,-160.984
Emperor Goose,Anser canagicus,56.082,-161.122
Emperor Goose,Anser canagicus,56.016,-161.024
Emperor Goose,Anser canagicus,56.014,-161.024
Emperor Goose,Anser canagicus,56.003,-161.115
Emperor Goose,Anser canagicus,55.979,-161.105
Emperor Goose,Anser canagicus,56.008,-161.151
Emperor Goose,Anser canagicus,56.005,-161.139
Emperor Goose,Anser canagicus,55.975,-161.143
Emperor Goose,Anser canagicus,56.002,-161.137
Emperor Goose,Anser canagicus,55.987,-161.176
Emperor Goose,Anser canagicus,56.015,-160.991
Emperor Goose,Anser canagicus,56.014,-160.986
Emperor Goose,Anser canagicus,56.009,-161.131
Emperor Goose,Anser canagicus,55.996,-161.128
Emperor Goose,Anser canagicus,55.996,-161.148
Emperor Goose,Anser canagicus,55.968,-161.318
Emperor Goose,Anser canagicus,55.994,-161.124
Emperor Goose,Anser canagicus,56.006,-161.008
Emperor Goose,Anser canagicus,55.992,-161.093
Emperor Goose,Anser canagicus,56.006,-161.086
Emperor Goose,Anser canagicus,55.996,-161.098
Emperor Goose,Anser canagicus,56.009,-161.025
Emperor Goose,Anser canagicus,56.016,-161.18
Emperor Goose,Anser canagicus,55.953,-161.394
Emperor Goose,Anser canagicus,55.922,-161.208
Emperor Goose,Anser canagicus,55.962,-161.221
Emperor Goose,Anser canagicus,55.951,-161.219
Emperor Goose,Anser canagicus,55.962,-161.224
Emperor Goose,Anser canagicus,55.928,-161.046
Emperor Goose,Anser canagicus,55.952,-161.213
Emperor Goose,Anser canagicus,55.951,-161.267
Emperor Goose,Anser canagicus,56.008,-161.145
Emperor Goose,Anser canagicus,56.008,-161.142
Emperor Goose,Anser canagicus,56.004,-161.155
Emperor Goose,Anser canagicus,56.001,-161.106
Emperor Goose,Anser canagicus,56.005,-161.125
Emperor Goose,Anser canagicus,56.049,-161.042
Emperor Goose,Anser canagicus,55.986,-161.042
Emperor Goose,Anser canagicus,55.974,-161.039
Emperor Goose,Anser canagicus,55.992,-161.05
Emperor Goose,Anser canagicus,55.987,-161.044
Emperor Goose,Anser canagicus,55.984,-161.044
Emperor Goose,Anser canagicus,55.973,-161.046
Emperor Goose,Anser canagicus,56.001,-161.097
Emperor Goose,Anser canagicus,56.01,-161.074
Emperor Goose,Anser canagicus,55.975,-161.026
Emperor Goose,Anser canagicus,55.983,-161.043
Emperor Goose,Anser canagicus,55.985,-161.042
Emperor Goose,Anser canagicus,56.002,-161.039
Emperor Goose,Anser canagicus,55.98,-161.045
Emperor Goose,Anser canagicus,55.988,-160.919
Emperor Goose,Anser canagicus,55.975,-161.045
Emperor Goose,Anser canagicus,56.003,-161.142
Emperor Goose,Anser canagicus,55.98,-161.157
Emperor Goose,Anser canagicus,55.993,-161.142
Emperor Goose,Anser canagicus,55.999,-161.13
Emperor Goose,Anser canagicus,55.985,-161.055
Emperor Goose,Anser canagicus,56.014,-161.138
Emperor Goose,Anser canagicus,56.01,-161.133
Emperor Goose,Anser canagicus,55.991,-161.111
Emperor Goose,Anser canagicus,56.005,-161.158
Emperor Goose,Anser canagicus,56.012,-161.116
Emperor Goose,Anser canagicus,56.003,-161.163
Emperor Goose,Anser canagicus,56.002,-161.184
Emperor Goose,Anser canagicus,55.968,-161.778
Emperor Goose,Anser canagicus,55.955,-161.2
Emperor Goose,Anser canagicus,56.007,-160.494
Emperor Goose,Anser canagicus,55.996,-161.138
Emperor Goose,Anser canagicus,55.978,-161.01
Emperor Goose,Anser canagicus,55.985,-161.061
Emperor Goose,Anser canagicus,55.965,-161.062
Emperor Goose,Anser canagicus,55.978,-160.996
Emperor Goose,Anser canagicus,55.963,-161.093
Emperor Goose,Anser canagicus,55.947,-161.031
Emperor Goose,Anser canagicus,55.994,-161.202
Emperor Goose,Anser canagicus,55.978,-161.231
Emperor Goose,Anser canagicus,55.992,-161.202
Emperor Goose,Anser canagicus,55.989,-161.191
Emperor Goose,Anser canagicus,55.972,-161.196
Emperor Goose,Anser canagicus,55.965,-161.23
Emperor Goose,Anser canagicus,56.02,-161.183
Emperor Goose,Anser canagicus,55.913,-161.014
Emperor Goose,Anser canagicus,56.012,-161.37
Emperor Goose,Anser canagicus,55.96,-161.073
Emperor Goose,Anser canagicus,56.056,-160.707
Emperor Goose,Anser canagicus,56.057,-160.984
Emperor Goose,Anser canagicus,56.079,-161.014
Emperor Goose,Anser canagicus,55.652,-162.578
Emperor Goose,Anser canagicus,55.539,-161.581
Emperor Goose,Anser canagicus,56.213,-159.843
Emperor Goose,Anser canagicus,55.981,-161.241
Emperor Goose,Anser canagicus,55.82,-160.848
Emperor Goose,Anser canagicus,55.954,-160.984
Emperor Goose,Anser canagicus,55.893,-160.969
Emperor Goose,Anser canagicus,55.672,-162.429
Emperor Goose,Anser canagicus,55.943,-161.035
Emperor Goose,Anser canagicus,55.971,-161.05
Emperor Goose,Anser canagicus,56.032,-160.936
Emperor Goose,Anser canagicus,56.02,-161.063
Emperor Goose,Anser canagicus,56.008,-160.972
Emperor Goose,Anser canagicus,56.011,-160.986
Emperor Goose,Anser canagicus,56.005,-160.974
Emperor Goose,Anser canagicus,55.995,-160.935
Emperor Goose,Anser canagicus,55.995,-160.992
Emperor Goose,Anser canagicus,56.018,-160.964
Emperor Goose,Anser canagicus,56.01,-160.977
Emperor Goose,Anser canagicus,56.015,-160.978
Emperor Goose,Anser canagicus,56.006,-160.968
Emperor Goose,Anser canagicus,56.004,-161.008
Emperor Goose,Anser canagicus,56.012,-161.024
Emperor Goose,Anser canagicus,56.015,-160.974
Emperor Goose,Anser canagicus,56.021,-160.964
Emperor Goose,Anser canagicus,56.018,-160.952
